destination,Country,Continent,type,cost,Best Season,rating,Annual Visitors (M),UNESCO Site,activities,duration,total_cost,type_encoded,continent_encoded
Serene Temple,Morocco,Africa,Beach,174.84,Summer,4.5,7.45,No,"Shopping,Surfing,Skiing",3,524.52,1,0
Sacred Valley,Germany,Europe,Religious,94.41,Summer,4.6,1.98,No,Surfing,11,1038.51,5,2
Serene Temple,South Africa,Africa,Adventure,228.96,Summer,4.7,0.7,Yes,"Trekking,Museum",10,2289.6,0,0
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,No,Sightseeing,9,1088.6399999999999,4,4
Golden Ruins,Mexico,North America,Adventure,162.1,Spring,3.9,4.6,No,"Beach Volley,Surfing",10,1621.0,0,3
Hidden Valley,Thailand,Asia,Historical,190.82,Spring,4.0,1.83,Yes,"Sightseeing,Museum,Beach Volley",9,1717.3799999999999,3,1
Hidden Park,Spain,Europe,Adventure,104.6,Summer,4.1,4.83,No,"Food Tour,Trekking,Beach Volley",4,418.4,0,2
Grand Valley,Brazil,South America,Beach,118.53,Autumn,4.7,5.39,No,Sightseeing,6,711.1800000000001,1,5
Ancient Beach,New Zealand,Oceania,Historical,122.78,Spring,4.5,6.27,No,Beach Volley,7,859.46,3,4
Serene Valley,Kenya,Africa,City,119.99,Spring,4.8,1.43,No,"Surfing,Sightseeing,Skiing",14,1679.86,2,0
Hidden Ruins,China,Asia,Historical,119.91,Autumn,5.0,1.66,No,Surfing,13,1558.83,3,1
Ancient Park,Japan,Asia,Historical,123.32,Winter,4.5,9.14,No,Shopping,9,1109.8799999999999,3,1
Grand Canyon,Morocco,Africa,City,191.13,Winter,4.1,3.46,Yes,"Trekking,Skiing",6,1146.78,2,0
Golden Temple,Morocco,Africa,Religious,288.92,Winter,4.9,2.26,No,Food Tour,12,3467.04,5,0
Serene Park,Italy,Europe,Historical,186.92,Autumn,4.6,1.34,Yes,Surfing,10,1869.1999999999998,3,2
Lush Ruins,Peru,South America,City,99.55,Autumn,4.0,3.08,No,"Beach Volley,Museum,Food Tour",10,995.5,2,5
Sacred Canyon,Brazil,South America,City,126.97,Winter,4.8,3.17,No,"Museum,Sightseeing,Surfing",12,1523.6399999999999,2,5
Mystic Forest,South Africa,Africa,Adventure,93.47,Autumn,4.5,8.12,No,"Skiing,Food Tour,Beach Volley",10,934.7,0,0
Mystic Ruins,Vietnam,Asia,Beach,116.15,Summer,4.7,0.55,No,"Sightseeing,Beach Volley,Shopping",9,1045.3500000000001,1,1
Lush Forest,Kenya,Africa,Adventure,179.11,Summer,4.8,7.43,No,"Skiing,Beach Volley",11,1970.21,0,0
Ancient Forest,Brazil,South America,Nature,108.04,Summer,4.4,8.7,No,Sightseeing,11,1188.44,4,5
Grand Ruins,Brazil,South America,Religious,74.59,Spring,4.8,1.1,Yes,"Trekking,Beach Volley,Skiing",11,820.49,5,5
Mystic Forest,India,Asia,Beach,94.68,Spring,4.1,7.43,No,"Skiing,Food Tour",7,662.76,1,1
Sacred Park,Greece,Europe,Religious,191.74,Spring,4.6,4.99,No,Skiing,13,2492.62,5,2
Sacred Forest,Canada,North America,City,168.08,Spring,4.3,7.73,No,Sightseeing,9,1512.72,2,3
Ancient Falls,France,Europe,Nature,224.77,Spring,4.6,5.19,No,"Museum,Skiing",13,2922.01,4,2
Ancient Valley,Argentina,South America,City,30.0,Summer,4.7,0.74,Yes,"Trekking,Surfing,Beach Volley",11,330.0,2,5
Lush Forest,Vietnam,Asia,Beach,79.06,Winter,4.8,5.33,Yes,Sightseeing,7,553.4200000000001,1,1
Sacred Temple,USA,North America,Historical,139.02,Autumn,4.6,4.4,No,"Sightseeing,Shopping",9,1251.18,3,3
Sacred Pagoda,Argentina,South America,Adventure,110.54,Spring,4.7,1.23,No,"Sightseeing,Trekking,Beach Volley",11,1215.94,0,5
Golden Park,Greece,Europe,City,109.58,Winter,4.3,9.33,Yes,"Sightseeing,Skiing",4,438.32,2,2
